ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
2116,Uttarakhand,Haridwar,Locality_235,Independent House,1,2919,200.67,0.07,2018,Semi-furnished,19,25,7,3,5,High,Yes,No,"Gym, Playground, Garden",West,Builder,Under_Construction
2117,Assam,Silchar,Locality_333,Apartment,2,1058,293.32,0.28,1992,Furnished,21,13,33,8,5,Medium,Yes,Yes,"Playground, Gym, Clubhouse, Garden, Pool",West,Owner,Under_Construction
2118,Andhra Pradesh,Vijayawada,Locality_365,Independent House,3,4394,76.33,0.02,2015,Unfurnished,13,1,10,5,1,Medium,No,No,"Garden, Pool",South,Broker,Ready_to_Move
2119,Assam,Silchar,Locality_83,Villa,2,1619,282.68,0.17,2014,Furnished,28,13,11,10,7,Low,Yes,No,"Pool, Gym, Playground, Clubhouse",West,Broker,Ready_to_Move
2120,Karnataka,Bangalore,Locality_35,Apartment,5,1090,62.58,0.06,2005,Unfurnished,20,5,20,8,4,High,Yes,Yes,Playground,East,Owner,Ready_to_Move
2121,Karnataka,Mysore,Locality_62,Villa,3,4960,10.15,0.0,2013,Unfurnished,18,17,12,1,6,Low,Yes,No,"Gym, Pool",West,Builder,Under_Construction
2122,Karnataka,Mangalore,Locality_58,Apartment,4,4557,146.66,0.03,1993,Semi-furnished,7,21,32,8,1,High,Yes,No,"Pool, Gym, Playground, Garden",East,Builder,Ready_to_Move
2123,West Bengal,Kolkata,Locality_322,Villa,3,1440,278.02,0.19,1995,Furnished,7,6,30,3,8,Low,No,Yes,"Clubhouse, Garden, Playground",North,Builder,Ready_to_Move
2124,Haryana,Gurgaon,Locality_125,Independent House,5,517,87.28,0.17,2000,Unfurnished,15,4,25,8,10,Low,Yes,No,"Playground, Gym, Pool",South,Owner,Under_Construction
2125,Odisha,Bhubaneswar,Locality_336,Villa,4,3192,158.2,0.05,2015,Unfurnished,13,21,10,3,2,Medium,No,No,"Garden, Gym, Pool, Playground, Clubhouse",North,Owner,Ready_to_Move
2126,Assam,Guwahati,Locality_197,Villa,5,880,313.47,0.36,2021,Semi-furnished,27,11,4,10,7,Low,Yes,Yes,"Garden, Playground, Gym, Clubhouse, Pool",West,Owner,Ready_to_Move
2127,Bihar,Gaya,Locality_168,Independent House,3,778,191.43,0.25,2007,Unfurnished,17,9,18,6,8,Medium,No,No,"Playground, Gym, Garden, Clubhouse",South,Builder,Ready_to_Move
2128,West Bengal,Durgapur,Locality_69,Apartment,1,2156,207.28,0.1,1994,Unfurnished,15,18,31,4,2,Medium,No,Yes,"Pool, Playground",North,Broker,Ready_to_Move
2129,Uttarakhand,Haridwar,Locality_289,Villa,1,931,52.54,0.06,2001,Unfurnished,1,30,24,2,2,Low,Yes,Yes,"Gym, Clubhouse, Pool, Garden, Playground",East,Owner,Under_Construction
2130,Assam,Guwahati,Locality_153,Apartment,2,667,452.93,0.68,2019,Unfurnished,27,8,6,1,2,Low,Yes,No,"Pool, Gym, Garden, Clubhouse",East,Owner,Ready_to_Move
2131,West Bengal,Kolkata,Locality_267,Apartment,2,4228,31.74,0.01,2017,Semi-furnished,10,30,8,10,1,Low,No,No,"Garden, Playground, Gym, Pool",South,Owner,Under_Construction
2132,Haryana,Faridabad,Locality_267,Independent House,5,4817,391.76,0.08,1994,Unfurnished,28,10,31,5,6,Low,Yes,No,"Playground, Gym, Pool, Garden, Clubhouse",East,Owner,Under_Construction
2133,Uttarakhand,Dehradun,Locality_181,Villa,5,1704,43.52,0.03,1999,Unfurnished,3,27,26,1,5,High,Yes,No,"Pool, Clubhouse, Playground",West,Owner,Under_Construction
2134,Haryana,Gurgaon,Locality_370,Independent House,4,860,84.92,0.1,2001,Unfurnished,23,16,24,5,2,Low,Yes,No,Pool,South,Broker,Under_Construction
2135,Gujarat,Ahmedabad,Locality_46,Villa,5,4335,381.15,0.09,2001,Semi-furnished,2,27,24,1,10,Low,Yes,No,"Gym, Pool, Clubhouse",West,Broker,Ready_to_Move
2136,Andhra Pradesh,Vishakhapatnam,Locality_5,Apartment,4,3007,427.94,0.14,2015,Semi-furnished,25,29,10,10,3,High,No,Yes,"Pool, Gym, Clubhouse",West,Owner,Under_Construction
2137,Uttarakhand,Dehradun,Locality_408,Independent House,4,3399,481.23,0.14,2015,Furnished,23,25,10,7,9,Medium,No,Yes,"Pool, Clubhouse, Gym",West,Broker,Under_Construction
2138,Kerala,Trivandrum,Locality_487,Apartment,1,1571,342.76,0.22,2009,Unfurnished,15,11,16,4,2,High,Yes,Yes,"Garden, Playground, Pool",East,Owner,Ready_to_Move
2139,Jharkhand,Jamshedpur,Locality_267,Villa,4,1178,493.25,0.42,2015,Semi-furnished,30,27,10,4,4,High,Yes,No,"Gym, Garden",West,Broker,Under_Construction
2140,Haryana,Faridabad,Locality_88,Independent House,5,585,426.16,0.73,2015,Furnished,7,8,10,5,5,Medium,No,No,"Pool, Gym, Clubhouse",West,Builder,Ready_to_Move
2141,Assam,Silchar,Locality_474,Villa,2,3729,137.25,0.04,2020,Semi-furnished,26,11,5,4,8,Low,No,No,"Clubhouse, Garden",East,Broker,Under_Construction
2142,Assam,Silchar,Locality_465,Apartment,1,1554,494.02,0.32,1994,Furnished,29,25,31,7,10,Low,No,Yes,"Playground, Garden, Pool, Gym",South,Owner,Ready_to_Move
2143,Chhattisgarh,Bilaspur,Locality_478,Apartment,3,1394,318.86,0.23,2005,Unfurnished,23,18,20,10,1,High,No,No,"Playground, Pool, Gym, Clubhouse",South,Builder,Under_Construction
2144,Odisha,Cuttack,Locality_315,Villa,3,1600,208.15,0.13,1994,Furnished,21,1,31,6,8,High,Yes,Yes,"Pool, Garden, Clubhouse, Playground",North,Builder,Under_Construction
2145,Jharkhand,Jamshedpur,Locality_32,Apartment,3,4645,390.06,0.08,2003,Unfurnished,9,26,22,8,1,Low,No,No,Playground,South,Broker,Under_Construction
2146,Kerala,Trivandrum,Locality_267,Apartment,1,1887,25.05,0.01,2011,Furnished,6,15,14,5,9,Medium,Yes,Yes,"Pool, Playground, Garden",North,Owner,Ready_to_Move
2147,Odisha,Cuttack,Locality_399,Independent House,2,2011,27.15,0.01,2010,Unfurnished,30,28,15,7,5,High,Yes,Yes,"Gym, Pool, Playground, Garden",North,Owner,Under_Construction
2148,Maharashtra,Mumbai,Locality_353,Apartment,5,2814,318.38,0.11,2001,Furnished,29,26,24,9,4,Low,Yes,Yes,"Gym, Garden, Pool, Playground, Clubhouse",North,Broker,Under_Construction
2149,Madhya Pradesh,Bhopal,Locality_389,Independent House,5,642,279.94,0.44,2015,Unfurnished,27,9,10,1,9,Medium,Yes,No,"Pool, Garden, Clubhouse, Playground, Gym",South,Broker,Ready_to_Move
2150,Haryana,Gurgaon,Locality_257,Apartment,5,1094,394.58,0.36,2004,Semi-furnished,1,22,21,1,2,Medium,No,Yes,"Clubhouse, Playground, Pool",West,Owner,Ready_to_Move
2151,Tamil Nadu,Chennai,Locality_324,Independent House,1,2591,16.28,0.01,2019,Semi-furnished,11,11,6,1,4,High,No,Yes,"Playground, Garden, Clubhouse",East,Builder,Under_Construction
2152,Telangana,Hyderabad,Locality_214,Independent House,2,4832,35.8,0.01,2006,Unfurnished,17,6,19,1,8,Low,Yes,No,Playground,North,Broker,Ready_to_Move
2153,Jharkhand,Jamshedpur,Locality_117,Villa,4,1345,449.6,0.33,2018,Semi-furnished,18,3,7,3,4,Medium,Yes,No,"Playground, Gym, Pool, Garden",East,Builder,Ready_to_Move
2154,Kerala,Trivandrum,Locality_398,Independent House,2,1715,48.48,0.03,2000,Unfurnished,24,7,25,10,1,Low,No,Yes,"Garden, Clubhouse, Pool",East,Owner,Ready_to_Move
2155,Maharashtra,Nagpur,Locality_345,Independent House,1,2118,185.17,0.09,2012,Furnished,7,17,13,3,6,High,No,Yes,Clubhouse,South,Broker,Under_Construction
2156,Uttarakhand,Haridwar,Locality_172,Independent House,1,2416,366.25,0.15,2015,Semi-furnished,4,12,10,6,5,High,Yes,Yes,Playground,South,Broker,Under_Construction
2157,Odisha,Bhubaneswar,Locality_337,Independent House,3,2335,303.86,0.13,2015,Semi-furnished,9,2,10,7,9,High,No,No,"Clubhouse, Pool, Garden",South,Builder,Ready_to_Move
2158,Punjab,Amritsar,Locality_450,Villa,1,2719,266.54,0.1,2001,Furnished,11,9,24,6,9,High,Yes,Yes,"Playground, Clubhouse",South,Broker,Under_Construction
2159,Jharkhand,Ranchi,Locality_96,Apartment,4,3855,449.6,0.12,1996,Semi-furnished,28,19,29,8,9,High,Yes,Yes,"Garden, Gym, Playground, Clubhouse",West,Broker,Under_Construction
2160,Jharkhand,Ranchi,Locality_289,Villa,3,894,18.88,0.02,2012,Furnished,1,29,13,9,5,Medium,Yes,Yes,"Clubhouse, Pool, Gym, Playground",West,Broker,Ready_to_Move
2161,Rajasthan,Jodhpur,Locality_61,Apartment,5,2094,211.71,0.1,1994,Unfurnished,27,8,31,6,6,Low,Yes,Yes,"Gym, Garden, Clubhouse",West,Owner,Under_Construction
2162,Karnataka,Mangalore,Locality_293,Villa,2,3191,230.49,0.07,1993,Furnished,4,7,32,2,10,High,No,Yes,"Pool, Playground, Clubhouse",West,Owner,Ready_to_Move
2163,Jharkhand,Jamshedpur,Locality_438,Independent House,1,4046,421.1,0.1,2000,Unfurnished,1,11,25,10,9,Low,Yes,No,"Clubhouse, Playground, Pool, Garden",North,Owner,Under_Construction
2164,Odisha,Cuttack,Locality_208,Independent House,1,4192,180.01,0.04,2005,Semi-furnished,19,14,20,10,5,High,No,Yes,"Gym, Garden, Pool, Clubhouse",East,Builder,Under_Construction
2165,Gujarat,Surat,Locality_438,Villa,4,4225,145.74,0.03,2002,Unfurnished,15,24,23,4,8,High,Yes,Yes,"Pool, Playground, Gym, Clubhouse, Garden",East,Owner,Under_Construction
2166,Assam,Silchar,Locality_388,Apartment,5,623,162.68,0.26,2010,Unfurnished,5,1,15,4,10,Medium,Yes,No,"Garden, Clubhouse",West,Broker,Under_Construction
2167,Uttarakhand,Dehradun,Locality_294,Independent House,1,2474,289.82,0.12,1994,Unfurnished,3,23,31,4,8,High,Yes,Yes,"Playground, Garden, Gym, Pool, Clubhouse",East,Broker,Ready_to_Move
2168,Andhra Pradesh,Vijayawada,Locality_274,Independent House,5,2967,17.62,0.01,1998,Furnished,18,8,27,3,3,Medium,No,No,"Garden, Gym, Pool, Playground, Clubhouse",South,Owner,Ready_to_Move
2169,West Bengal,Durgapur,Locality_494,Villa,4,3630,143.81,0.04,2008,Unfurnished,17,16,17,1,8,High,Yes,No,"Garden, Clubhouse, Pool",East,Broker,Ready_to_Move
2170,Rajasthan,Jodhpur,Locality_96,Villa,1,4165,314.07,0.08,2023,Unfurnished,23,23,2,4,5,Medium,Yes,No,"Playground, Garden, Gym, Pool, Clubhouse",North,Broker,Ready_to_Move
2171,Karnataka,Mysore,Locality_21,Apartment,3,1551,266.9,0.17,2017,Furnished,27,16,8,10,2,High,No,Yes,"Clubhouse, Garden",West,Broker,Ready_to_Move
2172,Jharkhand,Jamshedpur,Locality_374,Independent House,1,1102,228.44,0.21,1991,Furnished,9,24,34,7,10,Low,Yes,No,Clubhouse,South,Owner,Ready_to_Move
2173,Tamil Nadu,Coimbatore,Locality_439,Independent House,5,2167,92.44,0.04,2013,Semi-furnished,14,15,12,2,10,Low,Yes,No,"Playground, Clubhouse, Gym, Pool",South,Builder,Under_Construction
2174,Uttar Pradesh,Noida,Locality_21,Apartment,4,817,475.8,0.58,2001,Furnished,8,2,24,9,4,Medium,Yes,Yes,"Garden, Pool, Gym, Playground, Clubhouse",South,Owner,Under_Construction
2175,Maharashtra,Mumbai,Locality_302,Villa,3,4731,320.89,0.07,2007,Semi-furnished,29,4,18,7,9,Medium,Yes,No,Gym,East,Builder,Ready_to_Move
2176,Bihar,Gaya,Locality_333,Apartment,1,1295,313.67,0.24,2011,Semi-furnished,10,22,14,6,4,Low,Yes,Yes,Garden,East,Broker,Under_Construction
2177,Haryana,Gurgaon,Locality_361,Independent House,1,1795,432.64,0.24,1996,Unfurnished,4,1,29,2,3,Medium,Yes,No,Clubhouse,South,Builder,Ready_to_Move
2178,Telangana,Warangal,Locality_273,Apartment,2,4092,43.08,0.01,2023,Unfurnished,14,5,2,7,3,Low,No,Yes,Playground,South,Broker,Under_Construction
2179,West Bengal,Kolkata,Locality_274,Independent House,3,4363,15.64,0.0,1990,Unfurnished,0,24,35,9,1,Medium,No,No,"Gym, Playground, Garden, Clubhouse, Pool",West,Owner,Under_Construction
2180,Telangana,Warangal,Locality_333,Villa,3,3083,132.84,0.04,2013,Furnished,6,30,12,7,7,Medium,No,Yes,"Gym, Pool",South,Builder,Under_Construction
2181,Uttar Pradesh,Lucknow,Locality_359,Independent House,1,4327,92.56,0.02,2001,Unfurnished,3,16,24,7,10,Low,Yes,No,"Garden, Playground, Clubhouse, Gym, Pool",West,Builder,Ready_to_Move
2182,Telangana,Warangal,Locality_83,Independent House,5,4613,278.69,0.06,1993,Furnished,29,9,32,8,10,Medium,No,No,"Pool, Gym",South,Broker,Under_Construction
2183,Assam,Silchar,Locality_247,Villa,5,4636,341.61,0.07,2007,Unfurnished,11,19,18,8,5,High,No,No,"Pool, Clubhouse, Garden, Playground",South,Broker,Under_Construction
2184,Uttarakhand,Dehradun,Locality_135,Independent House,5,647,147.21,0.23,2003,Unfurnished,4,1,22,2,10,Medium,Yes,No,"Clubhouse, Pool, Playground, Gym, Garden",South,Builder,Under_Construction
2185,Odisha,Cuttack,Locality_219,Apartment,4,2342,296.25,0.13,1992,Semi-furnished,11,11,33,3,1,Medium,No,No,"Garden, Gym, Playground, Pool",North,Broker,Ready_to_Move
2186,Karnataka,Mangalore,Locality_234,Apartment,1,4429,23.32,0.01,2012,Furnished,26,2,13,5,10,High,No,No,Garden,North,Owner,Under_Construction
2187,West Bengal,Kolkata,Locality_90,Apartment,4,4600,89.3,0.02,2000,Furnished,27,3,25,8,6,Low,No,No,"Garden, Gym",West,Builder,Ready_to_Move
2188,Assam,Guwahati,Locality_193,Independent House,5,3689,195.79,0.05,1999,Semi-furnished,0,17,26,9,5,High,Yes,Yes,"Gym, Playground, Clubhouse",East,Owner,Under_Construction
2189,Uttar Pradesh,Lucknow,Locality_178,Independent House,5,2474,310.31,0.13,2009,Semi-furnished,20,1,16,5,10,Low,Yes,No,"Playground, Pool",East,Owner,Under_Construction
2190,Chhattisgarh,Raipur,Locality_471,Villa,3,3159,342.5,0.11,1997,Furnished,17,10,28,2,3,Medium,Yes,No,"Clubhouse, Playground, Pool, Gym",West,Builder,Under_Construction
2191,Haryana,Gurgaon,Locality_125,Independent House,1,1147,375.13,0.33,2008,Furnished,27,28,17,3,3,High,No,No,Pool,East,Owner,Ready_to_Move
2192,Odisha,Cuttack,Locality_369,Villa,1,1523,61.67,0.04,1993,Semi-furnished,0,18,32,2,8,High,No,No,Pool,North,Broker,Under_Construction
2193,Assam,Guwahati,Locality_11,Apartment,3,3186,64.56,0.02,2011,Semi-furnished,23,24,14,4,10,Low,Yes,No,Pool,North,Builder,Ready_to_Move
2194,Andhra Pradesh,Vijayawada,Locality_92,Apartment,5,1936,312.29,0.16,2011,Unfurnished,6,25,14,5,5,Low,Yes,No,"Gym, Playground, Garden",North,Broker,Under_Construction
2195,Haryana,Gurgaon,Locality_351,Villa,5,3023,184.25,0.06,1990,Semi-furnished,2,10,35,1,8,Medium,Yes,Yes,"Gym, Clubhouse, Pool, Playground",East,Builder,Under_Construction
2196,Gujarat,Surat,Locality_82,Independent House,3,1342,389.81,0.29,2018,Semi-furnished,27,10,7,1,2,High,Yes,No,Pool,East,Broker,Under_Construction
2197,Bihar,Patna,Locality_476,Independent House,3,868,339.79,0.39,2014,Semi-furnished,0,27,11,4,8,Medium,No,No,"Gym, Clubhouse, Garden",South,Owner,Under_Construction
2198,Chhattisgarh,Bilaspur,Locality_477,Apartment,5,2669,184.78,0.07,1999,Semi-furnished,14,17,26,7,1,Medium,Yes,No,"Clubhouse, Playground",West,Broker,Ready_to_Move
2199,Haryana,Faridabad,Locality_450,Independent House,3,1090,36.23,0.03,2022,Furnished,3,26,3,8,2,Medium,No,Yes,"Clubhouse, Gym, Playground, Garden, Pool",South,Builder,Under_Construction
2200,Chhattisgarh,Bilaspur,Locality_189,Apartment,2,2412,464.52,0.19,2002,Furnished,24,13,23,3,2,High,Yes,Yes,"Pool, Garden, Gym, Clubhouse",West,Builder,Under_Construction
2201,Madhya Pradesh,Indore,Locality_372,Villa,3,3690,72.59,0.02,2011,Furnished,25,15,14,9,3,Medium,No,No,"Playground, Clubhouse, Pool, Garden",East,Broker,Ready_to_Move
2202,Punjab,Amritsar,Locality_465,Apartment,2,4021,252.36,0.06,2006,Semi-furnished,1,23,19,2,4,Medium,Yes,No,"Pool, Playground, Gym",West,Broker,Ready_to_Move
2203,Uttarakhand,Haridwar,Locality_308,Villa,5,3494,45.99,0.01,2008,Semi-furnished,21,18,17,3,5,Medium,Yes,Yes,"Garden, Playground",North,Owner,Ready_to_Move
2204,Odisha,Bhubaneswar,Locality_5,Villa,5,4979,490.07,0.1,1999,Furnished,20,9,26,5,5,Low,Yes,No,"Playground, Clubhouse, Garden",West,Broker,Under_Construction
2205,Uttar Pradesh,Noida,Locality_99,Independent House,2,1238,349.52,0.28,1994,Unfurnished,2,24,31,9,4,High,No,No,"Gym, Garden, Playground, Pool",West,Broker,Ready_to_Move
2206,Rajasthan,Jodhpur,Locality_405,Apartment,1,4764,231.4,0.05,2007,Furnished,21,21,18,2,8,Low,No,No,"Clubhouse, Garden",East,Builder,Under_Construction
2207,Punjab,Amritsar,Locality_13,Villa,5,1090,121.91,0.11,2000,Semi-furnished,5,29,25,10,9,Medium,Yes,No,Playground,South,Broker,Ready_to_Move
2208,Chhattisgarh,Bilaspur,Locality_216,Independent House,2,2379,298.65,0.13,2009,Furnished,3,16,16,2,7,High,Yes,Yes,"Gym, Clubhouse, Playground, Pool",West,Broker,Ready_to_Move
2209,Kerala,Kochi,Locality_108,Villa,5,4845,76.33,0.02,1994,Furnished,4,23,31,10,9,Low,Yes,Yes,"Pool, Gym, Garden, Playground",West,Broker,Ready_to_Move
2210,Rajasthan,Jodhpur,Locality_311,Villa,4,2366,142.41,0.06,2022,Unfurnished,4,28,3,7,1,Low,No,No,"Garden, Pool, Gym, Playground",West,Owner,Ready_to_Move
2211,Kerala,Kochi,Locality_357,Apartment,3,1939,161.32,0.08,1995,Unfurnished,29,8,30,6,2,Medium,No,Yes,Gym,South,Owner,Ready_to_Move
2212,Kerala,Trivandrum,Locality_48,Apartment,2,1288,404.88,0.31,2021,Unfurnished,21,22,4,3,4,Medium,Yes,Yes,"Clubhouse, Garden",West,Owner,Ready_to_Move
2213,Uttar Pradesh,Lucknow,Locality_206,Independent House,4,3238,452.12,0.14,2022,Furnished,23,14,3,6,4,Low,Yes,No,"Gym, Pool, Clubhouse, Playground, Garden",East,Builder,Ready_to_Move
2214,Odisha,Cuttack,Locality_203,Apartment,5,2585,26.44,0.01,2012,Furnished,17,26,13,5,6,Low,No,Yes,"Gym, Playground",West,Broker,Ready_to_Move
2215,Haryana,Faridabad,Locality_168,Apartment,1,3274,110.88,0.03,1997,Semi-furnished,25,25,28,5,5,Medium,No,Yes,"Playground, Pool, Gym",North,Owner,Under_Construction
2216,Odisha,Bhubaneswar,Locality_138,Villa,5,4550,132.59,0.03,2023,Unfurnished,26,10,2,2,7,Medium,Yes,No,"Gym, Pool, Playground, Garden, Clubhouse",North,Owner,Under_Construction
2217,Madhya Pradesh,Indore,Locality_486,Apartment,4,2197,43.18,0.02,2013,Semi-furnished,18,10,12,9,4,Low,Yes,Yes,"Clubhouse, Gym, Pool, Playground, Garden",West,Builder,Under_Construction
2218,Chhattisgarh,Bilaspur,Locality_213,Villa,1,4908,241.89,0.05,2021,Furnished,14,7,4,10,6,Low,Yes,No,"Garden, Clubhouse, Pool",North,Owner,Under_Construction
2219,Punjab,Amritsar,Locality_345,Villa,4,1104,454.04,0.41,2001,Furnished,22,14,24,8,2,Low,No,No,"Pool, Clubhouse, Gym",West,Owner,Ready_to_Move
2220,Kerala,Kochi,Locality_173,Independent House,5,3498,137.64,0.04,2020,Semi-furnished,5,6,5,7,2,High,Yes,Yes,Garden,East,Builder,Ready_to_Move
2221,Tamil Nadu,Coimbatore,Locality_206,Apartment,3,1448,205.27,0.14,2002,Furnished,14,14,23,7,5,Low,Yes,Yes,"Garden, Clubhouse, Playground",West,Broker,Under_Construction
2222,Jharkhand,Jamshedpur,Locality_46,Villa,4,1075,341.04,0.32,2004,Unfurnished,22,8,21,1,3,Low,No,Yes,"Playground, Clubhouse",North,Owner,Under_Construction
2223,Chhattisgarh,Bilaspur,Locality_14,Apartment,1,2336,176.93,0.08,2015,Semi-furnished,0,26,10,6,10,High,Yes,Yes,Garden,West,Builder,Under_Construction
2224,Andhra Pradesh,Vishakhapatnam,Locality_495,Independent House,4,3426,324.45,0.09,2015,Semi-furnished,24,8,10,8,9,Low,No,Yes,"Garden, Clubhouse, Gym",South,Builder,Ready_to_Move
2225,Andhra Pradesh,Vishakhapatnam,Locality_53,Villa,5,4499,222.94,0.05,2016,Unfurnished,17,20,9,3,3,Medium,Yes,Yes,Pool,East,Broker,Under_Construction
2226,Madhya Pradesh,Indore,Locality_481,Villa,5,4648,300.45,0.06,2021,Unfurnished,24,7,4,1,2,Medium,No,No,"Gym, Playground",South,Owner,Ready_to_Move
2227,West Bengal,Kolkata,Locality_313,Independent House,2,1685,339.19,0.2,2019,Furnished,7,24,6,1,6,High,Yes,Yes,"Gym, Pool, Garden, Playground",East,Builder,Ready_to_Move
2228,Kerala,Kochi,Locality_104,Villa,1,4284,51.3,0.01,2022,Unfurnished,0,14,3,10,1,High,No,No,"Clubhouse, Pool",West,Owner,Ready_to_Move
2229,Karnataka,Bangalore,Locality_38,Villa,2,4061,168.07,0.04,1997,Furnished,23,3,28,5,7,Medium,No,No,Garden,East,Builder,Under_Construction
2230,Kerala,Trivandrum,Locality_14,Independent House,3,2114,312.36,0.15,2011,Unfurnished,12,18,14,1,2,Medium,Yes,No,"Playground, Clubhouse, Pool, Garden, Gym",North,Owner,Ready_to_Move
2231,Delhi,Dwarka,Locality_108,Independent House,3,3802,118.17,0.03,2008,Furnished,20,17,17,6,7,Low,No,No,"Clubhouse, Pool",West,Owner,Ready_to_Move
2232,Madhya Pradesh,Bhopal,Locality_200,Villa,1,1600,232.21,0.15,2006,Furnished,16,26,19,10,2,Medium,Yes,No,Garden,South,Builder,Under_Construction
2233,Bihar,Patna,Locality_440,Apartment,4,3425,321.77,0.09,2012,Furnished,5,30,13,4,7,High,Yes,Yes,"Pool, Garden, Clubhouse",East,Broker,Under_Construction
2234,Punjab,Amritsar,Locality_227,Villa,2,1034,467.17,0.45,1993,Furnished,19,15,32,8,2,Medium,Yes,Yes,"Garden, Pool, Gym",East,Broker,Under_Construction
2235,Odisha,Bhubaneswar,Locality_401,Apartment,3,763,170.55,0.22,1996,Unfurnished,5,7,29,1,4,High,Yes,Yes,"Garden, Pool",South,Builder,Under_Construction
2236,Uttar Pradesh,Lucknow,Locality_128,Independent House,1,2495,407.19,0.16,1998,Unfurnished,13,15,27,9,4,High,No,Yes,"Playground, Gym, Garden, Pool, Clubhouse",East,Broker,Ready_to_Move
2237,Uttar Pradesh,Lucknow,Locality_334,Independent House,3,4864,150.03,0.03,2011,Furnished,18,28,14,5,1,High,No,Yes,"Clubhouse, Gym",North,Broker,Under_Construction
2238,Chhattisgarh,Bilaspur,Locality_95,Villa,1,4093,203.08,0.05,1991,Unfurnished,18,21,34,3,10,High,Yes,No,"Garden, Pool, Gym, Clubhouse",West,Owner,Under_Construction
2239,Punjab,Ludhiana,Locality_468,Apartment,1,1958,308.17,0.16,2020,Semi-furnished,7,17,5,7,7,Medium,No,No,Pool,East,Owner,Under_Construction
2240,Chhattisgarh,Bilaspur,Locality_377,Independent House,4,1509,292.46,0.19,2020,Semi-furnished,1,9,5,1,2,Low,Yes,No,"Pool, Garden, Clubhouse",West,Builder,Ready_to_Move
2241,Punjab,Amritsar,Locality_357,Apartment,4,1759,264.95,0.15,2013,Furnished,8,1,12,10,3,High,No,No,"Pool, Garden, Clubhouse",West,Broker,Under_Construction
2242,West Bengal,Durgapur,Locality_175,Villa,4,866,432.94,0.5,2007,Unfurnished,11,19,18,8,3,High,No,No,"Pool, Playground, Gym, Clubhouse",East,Broker,Under_Construction
2243,Tamil Nadu,Coimbatore,Locality_290,Villa,2,600,331.03,0.55,2022,Semi-furnished,24,19,3,3,9,Medium,Yes,No,"Pool, Clubhouse",West,Builder,Ready_to_Move
2244,Uttarakhand,Dehradun,Locality_28,Villa,1,1777,276.31,0.16,1995,Unfurnished,26,13,30,1,9,Low,No,Yes,"Gym, Garden, Pool, Clubhouse, Playground",East,Owner,Under_Construction
2245,Jharkhand,Jamshedpur,Locality_137,Independent House,2,4100,331.6,0.08,2016,Semi-furnished,11,28,9,6,1,High,Yes,No,"Garden, Playground, Gym, Clubhouse, Pool",North,Owner,Under_Construction
2246,Rajasthan,Jodhpur,Locality_456,Villa,3,3019,356.5,0.12,2010,Furnished,13,18,15,3,6,Low,No,No,Garden,South,Owner,Ready_to_Move
2247,Rajasthan,Jodhpur,Locality_12,Apartment,4,2597,124.73,0.05,1997,Unfurnished,11,5,28,6,4,Medium,No,No,"Playground, Pool, Garden, Clubhouse, Gym",West,Owner,Ready_to_Move
2248,Karnataka,Mysore,Locality_270,Independent House,3,2944,367.3,0.12,2005,Unfurnished,9,21,20,3,6,Low,No,Yes,"Gym, Pool, Clubhouse",North,Builder,Ready_to_Move
2249,Assam,Silchar,Locality_475,Apartment,2,4544,14.3,0.0,1998,Unfurnished,20,7,27,6,10,Medium,No,Yes,"Clubhouse, Pool, Gym, Garden, Playground",North,Owner,Ready_to_Move
2250,Rajasthan,Jaipur,Locality_148,Villa,3,4367,45.88,0.01,2009,Semi-furnished,12,5,16,3,2,Low,Yes,No,"Clubhouse, Garden, Playground, Pool, Gym",West,Broker,Ready_to_Move
2251,Rajasthan,Jodhpur,Locality_491,Independent House,5,3946,342.71,0.09,2001,Unfurnished,14,16,24,5,4,High,No,Yes,"Pool, Gym, Garden, Clubhouse",North,Broker,Ready_to_Move
2252,Karnataka,Mysore,Locality_305,Apartment,4,2433,139.87,0.06,2011,Semi-furnished,4,9,14,6,8,Low,Yes,No,"Playground, Clubhouse, Pool, Garden, Gym",North,Broker,Ready_to_Move
2253,Tamil Nadu,Coimbatore,Locality_70,Independent House,4,2325,110.4,0.05,2002,Unfurnished,4,5,23,5,4,High,No,Yes,Clubhouse,West,Builder,Under_Construction
2254,Telangana,Hyderabad,Locality_273,Villa,5,884,157.66,0.18,1991,Semi-furnished,2,28,34,9,9,Medium,Yes,No,"Playground, Gym, Clubhouse",East,Broker,Under_Construction
2255,Haryana,Gurgaon,Locality_404,Apartment,2,1973,182.17,0.09,2021,Unfurnished,1,12,4,10,8,High,Yes,Yes,"Garden, Gym, Clubhouse",East,Builder,Ready_to_Move
2256,Odisha,Cuttack,Locality_101,Independent House,1,4838,140.91,0.03,2019,Unfurnished,5,12,6,5,2,Low,Yes,Yes,"Pool, Gym, Garden",West,Builder,Under_Construction
2257,Tamil Nadu,Coimbatore,Locality_267,Apartment,3,1609,422.13,0.26,1995,Unfurnished,16,1,30,10,10,High,No,Yes,"Garden, Clubhouse, Pool, Playground",South,Broker,Under_Construction
